"FIRST NAME","LAST NAME","SCHOOL","CLASS","HEIGHT","WEIGHT","HAND","ARM","WING","10 SPLT","40 TIME","BENCH","VERT","BROAD","20S","3-CONE"
"Thomas","Booker","Stanford","Sr","6033","301","1058","3328","7978","1.69","4.95","","","902","4.41","7.33"
"Matthew","Butler","Tennessee","Sr","6037","297","928","3348","8158","1.73","5","17","32","904","4.81","7.89"
"Zachary","Carter","Florida","Sr","6042","282","1028","3348","8038","1.73","4.99","19","27.5","902","",""
"Michael","Clemons","Texas A&M","Sr","6052","263","1000","3478","8318","","","24","","908","",""
"DJ","Davidson","Arizona State","Sr","6033","327","1018","3300","8058","","","23","28","","4.72","7.85"
"Jordan","Davis","Georgia","Sr","6063","341","1068","3400","8118","1.68","4.78","","32","1003","",""
"Kalia","Davis","UCF","Sr","6010","302","948","3328","8000","","","","","","",""
"Noah","Elliss","Idaho","Jr","6042","346","1038","3228","7838","1.88","5.62","","","","",""
"Neil","Farrell Jr.","LSU","Sr","6041","330","1018","3228","7738","1.88","5.51","","21.5","","","8.41"
"Jonathan","Ford","Miami (FL)","Sr","6051","333","928","3268","7958","","","","29","806","",""
"Haskell","Garrett","Ohio State","Sr","6021","300","978","3158","7818","1.85","5.07","","24","","",""
"Christopher","Hinton","Michigan","Jr","6035","305","1048","3258","7818","1.74","5.28","","31.5","810","",""
"Jordan","Jackson","Air Force","Sr","6044","294","938","3368","8148","","","","","","",""
"Travis","Jones","UConn","Sr","6043","325","1028","3428","8148","1.76","4.92","","28.5","902","4.58","7.33"
"Demarvin","Leal","Texas A&M","Jr","6037","283","948","3328","8038","1.74","5","","27.5","810","4.49",""
"Phidarian","Mathis","Alabama","Sr","6042","310","1038","3458","8378","","","","23.5","901","4.91",""
"Marquan","McCall","Kentucky","Sr","6025","342","1100","3328","8078","","","","","","",""
"Otito","Ogbonnia","UCLA","Sr","6036","324","1000","3438","8358","","","29","","","",""
"Jayden","Peevy","Texas A&M","Sr","6053","308","1048","3548","8538","1.92","5.3","","27","804","",""
"LaBryan","Ray","Alabama","Sr","6042","283","848","3258","7928","","","","","","",""
"John","Ridgeway","Arkansas","Sr","6051","321","1000","3338","8138","1.81","5.3","","","805","4.73",""
"Myron","Tagovailoa-Amosa","Notre Dame","Sr","6022","270","958","3258","7878","1.71","4.81","","29","907","",""
"Isaiah","Thomas","Oklahoma","Sr","6047","266","1028","3328","7968","1.67","4.7","","31.5","909","",""
"Eyioma","Uwazurike","Iowa State","Sr","6061","316","1018","3518","8468","","","","33","811","",""
"Travon","Walker","Georgia","Jr","6050","272","1068","3548","8428","1.62","4.51","","35.5","1003","4.32","6.89"
"Perrion","Winfrey","Oklahoma","Sr","6035","290","1028","3528","8468","1.68","4.89","","","","",""
"Alex","Wright","UAB","Jr","6051","271","928","3400","8278","","","","","","",""
"Devonte","Wyatt","Georgia","Sr","6027","304","978","3258","7828","1.66","4.77","","29","903","",""